GID_4,GID_0,COUNTRY,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3,NAME_4,VARNAME_4,TYPE_4,ENGTYPE_4,CC_4
IDN.9.14.6.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.6_1,Bandung Kidul,Wates,NA,Kelurahan,Urban Community,3273080001
IDN.9.14.7.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.7_1,Bandung Kulon,Caringin,NA,Kelurahan,Urban Community,3273010005
IDN.9.14.7.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.7_1,Bandung Kulon,Cibuntu,NA,Kelurahan,Urban Community,3273010007
IDN.9.14.7.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.7_1,Bandung Kulon,Cigondewah Kaler,NA,Kelurahan,Urban Community,3273010002
IDN.9.14.7.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.7_1,Bandung Kulon,Cigondewah Kidul,NA,Kelurahan,Urban Community,3273010003
IDN.9.14.7.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.7_1,Bandung Kulon,Cigondewah Rahayu,NA,Kelurahan,Urban Community,3273010004
IDN.9.14.7.6_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.7_1,Bandung Kulon,Cijerah,NA,Kelurahan,Urban Community,3273010008
IDN.9.14.7.7_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.7_1,Bandung Kulon,Gempol Sari,NA,Kelurahan,Urban Community,3273010001
IDN.9.14.7.8_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.7_1,Bandung Kulon,Warung Muncang,NA,Kelurahan,Urban Community,3273010006
IDN.9.14.8.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.8_1,Bandung Wetan,Cihapit,NA,Kelurahan,Urban Community,3273200003
IDN.9.14.8.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.8_1,Bandung Wetan,Citarum,NA,Kelurahan,Urban Community,3273200002
IDN.9.14.8.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.8_1,Bandung Wetan,Taman Sari,NA,Kelurahan,Urban Community,3273200001
IDN.9.14.9.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.9_1,Batununggal,Binong,NA,Kelurahan,Urban Community,3273160002
IDN.9.14.9.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.9_1,Batununggal,Cibangkong,NA,Kelurahan,Urban Community,3273160005
IDN.9.14.9.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.9_1,Batununggal,Gumuruh,NA,Kelurahan,Urban Community,3273160001
IDN.9.14.9.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.9_1,Batununggal,Kacapiring,NA,Kelurahan,Urban Community,3273160007
IDN.9.14.9.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.9_1,Batununggal,Kebon Gedang,NA,Kelurahan,Urban Community,3273160003
IDN.9.14.9.6_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.9_1,Batununggal,Kebon Waru,NA,Kelurahan,Urban Community,3273160008
IDN.9.14.9.7_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.9_1,Batununggal,Maleer,NA,Kelurahan,Urban Community,3273160004
IDN.9.14.9.8_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.9_1,Batununggal,Samoja,NA,Kelurahan,Urban Community,3273160006
IDN.9.14.10.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.10_1,Bojongloa Kaler,Babakan Asih,NA,Kelurahan,Urban Community,3273030003
