name,address,lat,lng,types,business_status,rating,user_ratings_total
Terapi Pijat dan Urut Anti Toksin,"3H83+7F2, Jalan Kalpataru 2, Gempolsari",-6.934354000000001,107.5536557,"hospital, health, point_of_interest, establishment",OPERATIONAL,Unknown,Unknown
Sahabat Optik,"3HC4+9GQ, Gempolsari",-6.929039399999999,107.556346,"hospital, health, point_of_interest, establishment",OPERATIONAL,5,2
