name,address,lat,lng,types,business_status,rating,user_ratings_total
Klinik Gigi Shakti Taridi,"Jalan Parakan Saat No.9, Cisaranten Endah",-6.930980300000001,107.6685796,"hospital, health, point_of_interest, establishment",OPERATIONAL,Unknown,Unknown
Klinik Sunatan.com Bandung,Puteraco Gading Regency No.A1-7,-6.937680200000001,107.6711633,"hospital, health, point_of_interest, establishment",OPERATIONAL,5,130
