name,address,lat,lng,types,business_status,rating,user_ratings_total
DRUNKENSTEIN CAMP,"3JF6+F4J, Gang Sasak Gantung VII, Cikawao",-6.9262826,107.610263,"hospital, health, point_of_interest, establishment",OPERATIONAL,Unknown,Unknown
Klinik Universitas Pasundan Lengkong,"Jalan Lengkong Besar No.68, Cikawao",-6.9292442,107.6128898,"hospital, health, point_of_interest, establishment",OPERATIONAL,Unknown,Unknown
Yuniar,"Jalan Lengkong Besar No.8, Cikawao",-6.9238208,107.6113961,"hospital, health, point_of_interest, establishment",OPERATIONAL,Unknown,Unknown
