name,address,lat,lng,types,business_status,rating,user_ratings_total
KLINIK DAN APOTEK MEDIKA KALIMANGGIS,"JL. KALIMANGGIS RT 24 RW 4 NO 1 KIDUL LAPANG, Kalimanggis Kulon",-6.917324799999999,107.610112,"hospital, health, point_of_interest, establishment",OPERATIONAL,Unknown,Unknown
Klinik Cory Skin,"Jalan Lembong No.14, Braga",-6.9166456,107.6106477,"hospital, health, point_of_interest, establishment",OPERATIONAL,Unknown,Unknown
"Andre, DRG","Gang Suniaraja No.46, Braga",-6.916856999999999,107.605452,"hospital, health, point_of_interest, establishment",OPERATIONAL,Unknown,Unknown
