name,address,lat,lng,types,business_status,rating,user_ratings_total
Sartika Asih Hospital,"Jalan Mochammad Toha No.369, Ciseureuh",-6.9565364,107.6125794,"hospital, health, point_of_interest, establishment",OPERATIONAL,3.4,777
Kantor,"2JV7+FGW, Ciseureuh",-6.9562594,107.6138364,"hospital, health, point_of_interest, establishment",OPERATIONAL,5,1
