name,address,lat,lng,types,business_status,rating,user_ratings_total
Tan Tjiong Hoat,"JL. Mohammad Toha, No. 45, Pungkur Regol, Bandung, Cigereleng",-6.941668,107.607433,"hospital, health, point_of_interest, establishment",OPERATIONAL,Unknown,Unknown
Wootekh Indonesia,"Jalan Srimahi No.14, Cigereleng",-6.9352982,107.6136451,"hospital, health, point_of_interest, establishment",OPERATIONAL,3,1
