name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,ID_Kelurahan 
Dapur_mommy,"3MR4+5W3, Jalan Antapani Gang Abureja, Antapani Kulon",-6.909603,107.6572864,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.2.2_1
"Balad Nyemil Antapani ( Agen Cuanki Hegar, Cireng Isi & Baso Tasik","Jalan Terusan Sindang Barang Gang. H. Sukin No.73A, Antapani Kulon",-6.9106013,107.6573845,CLOSED_TEMPORARILY,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.2.2_1
Es campur eyang,"Ruko cicaheum, Jalan Antapani Lama No.28",-6.9094476,107.657484,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.2.2_1
"Pecel Lele Putra Ronggolawe 06, ANTAPANI KULON","Jalan Antapani Lama No.28, Antapani Kulon",-6.909441,107.6574981,OPERATIONAL,4.6,121,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.2.2_1
BASO MANG IING,"Jalan Antapani Lama No.39, Cicaheum",-6.9098548,107.6577312,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.2.2_1
RM. Ayam Goreng Ninit,"Jalan Cibatu Raya No.45, Antapani Tengah",-6.9171094,107.6639977,OPERATIONAL,4.4,38,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.2.3_1
Angkringan Jogja,"Jalan Cibatu Raya No.45, Antapani Tengah",-6.9170406,107.6640243,OPERATIONAL,4.6,91,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.2.3_1
RM Ikasari,"Jalan Cibatu Raya No.56, Antapani Tengah",-6.9167816,107.6639802,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.2.3_1
Surabi Kuningan,"Jalan Kuningan Raya No.113, Antapani Tengah",-6.9192858,107.6632292,OPERATIONAL,4.2,45,"restaurant, food, point_of_interest, establishment",1,IDN.9.14.2.3_1
RM Dapur Makassar,"Jl.Jendral Abdul Haris Nasution No.928 M, Ruko Bumi Mas Kencana, Antapani, Wetan,, Antapani, Antapani Wetan",-6.904094,107.663598,OPERATIONAL,4.1,7,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.2.4_1
