name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Sekolah Luar Biasa (SLB) Negeri a Bandung,"Jalan Pajajaran No.50, Pasir Kaliki",-6.906192699999999,107.6010894,OPERATIONAL,4.9,167,"school, point_of_interest, establishment",
TKK BPK Penabur Paskal,"3HXX+33Q, Jalan Pasir Kaliki, Pasir Kaliki",-6.902289300000001,107.5977388,OPERATIONAL,3.8,5,"school, point_of_interest, establishment",
