name,address,lat,lng,rating,user_ratings_total
RM VIVIT,Indonesia,-6.917958800000001,107.5742491,Unknown,Unknown
WARTEG ENAKK,"Jalan Soekarno-Hatta No.182, Cibuntu",-6.923931000000001,107.574855,Unknown,Unknown
Warteg Abby,Indonesia,-6.923926,107.5748865,Unknown,Unknown
WARUNG EONNI,"3HGF+PRH, Gang Kh. Moca. Andi, Cibuntu",-6.923193399999999,107.574621,3.9,7
Incesss ayam & ikan goreng,"Gang Kh. Moca. Andi, Cibuntu",-6.922954900000001,107.5746493,Unknown,Unknown
Warung Nasi Djongko Utama,"Jalan Soekarno-Hatta No.54, Cibuntu",-6.923347199999999,107.574675,4.9,8
Sate & Gule HOLIS Haji Roni,"Jalan Soekarno-Hatta No.44, Cibuntu",-6.9224274,107.5746493,4.7,195
Rumah Makan Mamora Khas Toba,"Jalan Soekarno-Hatta No.48, Cibuntu",-6.9227631,107.5746719,4.2,9
RM. Harapan Baru,"Jalan Soekarno-Hatta B No.42, Cibuntu",-6.9215539,107.5744943,4.3,13
Warung Bu Momoh,"Jalan Soekarno-Hatta No.35, Cibuntu",-6.921888499999999,107.5748088,Unknown,Unknown
RMP AROMA MINANG,Indonesia,-6.921449299999999,107.5744995,Unknown,Unknown
Budget Catering,"Jalan Soekarno-Hatta No.34, Cibuntu",-6.921047800000001,107.5744322,5,1
warung San-San,"Jalan Soekarno-Hatta No.38 RT 10/03, Cibuntu",-6.921152499999999,107.574391,5,2
Ayam Goreng Ny. Yap,"3HHF+HQJ, Unnamed Road, Cibuntu",-6.921035300000001,107.5743856,5,43
RMP AROMA MINANG,Indonesia,-6.921449299999999,107.5744995,Unknown,Unknown
Warteg Bahari,Indonesia,-6.920455,107.5743202,4,2
Warung Nasi Berkah,"Jalan Soekarno-Hatta No.19A, Cibuntu",-6.919823,107.5745135,5,4
Warung Akbar Jaya,"Jalan Soekarno-Hatta No.9, Cibuntu",-6.9188728,107.5745322,Unknown,Unknown
Nasi Goreng Mas Sugih,"Jalan Holis No.56, Warung Muncang",-6.922772999999999,107.575367,5,8
Warung Nasi Mang Oding,"Jalan Holis No.57, Cibuntu",-6.922659,107.5754011,5,1
Rumah Makan Paris Masakan Padang,Indonesia,-6.9226649,107.5754191,3,2
Mie Baso Slamet,"Jalan Holis No.84, Cibuntu",-6.9225639,107.5752957,Unknown,Unknown
WARNAS CI SEUPAN,Indonesia,-6.9227511,107.5749355,5,1
Warung Nasi Ciseupan,"3HGF+WX8, Jalan Soekarno-Hatta, Cibuntu",-6.922709,107.5749426,5,1
Baso Kasidi Thea,"Jalan Soekarno-Hatta No.45, Cibuntu",-6.923052299999999,107.5749674,3.6,5
Baso Tahu Siomay Shaka,"Jalan Holis No.74, Cibuntu",-6.922060399999999,107.5754686,5,1
Chicken Star Ayam Crispy,"Jalan Holis No.82, Cibuntu",-6.9224004,107.5754152,5,6
"Sate Jboy, Holis","Jalan Holis No.72, Cibuntu",-6.921933199999999,107.5754701,5,1
Bakso 64,Jalan Holis No.64,-6.9214711,107.5754068,Unknown,Unknown
RISOLE ZIBEUH,"Jl. Holis gg siti farimah No.28, RT.08/RW.03, Cibuntu",-6.919546899999999,107.5752138,5,2
WARUNG NASI PA'SUNDA ( Cita Rasa Khas Sunda ),Gang Hj. Siti Fatimah Jalan Holis,-6.9195762,107.5752151,3.9,7
Spatula Persib33 Aing Pisan,"rumah roni, Jalan Holis gg siti fatimah RT.08/RW.03",-6.9194244,107.5751053,4.7,6
Seblak Spesialis (Anggi),"shelter taraksa bandung, Gang Hj. Siti Rohmah Jalan Holis No.9/81, Cibuntu",-6.9185714,107.5753737,4.6,22
Mamih masak,"3HJG+P3Q, Gang BP. Jumenah, Cibuntu",-6.9181653,107.5752485,5,3
Sangu Ciamis,"Jalan Holis No.26, Cibuntu",-6.919395799999999,107.5758792,Unknown,Unknown
Warung Cemilan Mama Arsya,"Jalan Holis gg siti farimah No.28, RT.08/RW.03, Cibuntu",-6.919418200000001,107.5757703,4.5,2
Ayam fresto geprek / ayam bakar,"3HJG+J82, Cibuntu",-6.918486099999999,107.5757704,5,1
Mie Kocok Tulang Iga holis,Jalan Holis No.14,-6.9183958,107.5759847,4.8,59
AR Takoyaki Dan Cumi Bakar,"Jalan Holis No.14, Cibuntu",-6.9183958,107.5759847,5,1
Ayam Geprek 51,"3HJG+G7G, Gang Hj. Siti Rohmah, Cibuntu",-6.9186812,107.5756973,Unknown,Unknown
Warung Nasi & Bubur Ayam Ibu Al Otoy,"Jalan Holis No.19, Cibuntu",-6.9185021,107.576162,5,2
Mie ayam bakso CJDW,"Jalan Jend. Sudirman No.671, Cibuntu",-6.917648,107.576023,Unknown,Unknown
Bapao Lina,"Jalan Holis No.6, Cibuntu",-6.917973300000001,107.5760754,5,1
