name,address,lat,lng,rating,user_ratings_total
Bubur Hayyam 44,Jalan Ciumbuleuit Atas No.25,-6.8634807,107.604975,5,1
Aneka Makanan,"4JP4+P2W, Jalan Rereongan Sarupi, Ciumbuleuit",-6.863127899999999,107.6050926,Unknown,Unknown
Fast Food Center,Indonesia,-6.863516199999999,107.6049573,Unknown,Unknown
Tongkrongan_id (tK),"Jalan Rereongan Sarupi No.20a, Ciumbuleuit",-6.8622494,107.6052893,4.6,36
makaroni dan kiripik ketu,"Jalan Rereongan Sarupi No.25, Ciumbuleuit",-6.8612503,107.6050628,5,1
Ra2 Dimsum,"dpn smk bakti mandiri, Jalan Rereongan Sarupi, Ciumbuleuit",-6.8611366,107.6052463,Unknown,Unknown
Warung Nasi Udack,"Jalan Rereongan Sarupi No.1, Ciumbuleuit",-6.8622217,107.6048283,Unknown,Unknown
Warung punclut ibu iin,"Jalan Bukit Raya Atas No.51, Ciumbuleuit",-6.8617057,107.6062036,5,1
"Baso Tahu MAMI Kitchen 2 , Ciumbuleuit",Ciumbuleuit,-6.8625045,107.6055571,5,5
Ramen Kuy!,"Jalan Bukit Raya Atas No.51, Ciumbuleuit",-6.861783300000001,107.6062775,Unknown,Unknown
SOP IGA & SOTO BANDUNG,"4JQ4+4FC, Jalan Bukit Raya Atas, Ciumbuleuit",-6.8621839,107.6061253,Unknown,Unknown
warung CiJi,"Jl. Rereongan Sarupi No.49 kampung Bongkor, RT.09/RW.03, Ciumbuleuit",-6.859698900000001,107.6052961,5,6
"RM Saung Rengganis ""Ibu Kuntum""","Jalan Rereongan Sarupi No.73, Ciumbuleuit",-6.8601641,107.6057256,4.6,688
Jasmin Takoyaki and Okonomiyaki & Takoyaki Take On This It,"Jalan Rereongan Sarupi No.Rt.09/03 No.12, Ciumbuleuit",-6.8604188,107.6052945,4.3,12
Sarupi Coffee and Eatery,Jalan Rereongan Sarupi No.79,-6.8596491,107.6061227,4.9,41
Uenake Dimsum,"Jalan Rereongan Sarupi No.70, Ciumbuleuit",-6.860616599999999,107.6057946,4.3,10
Ayam Goreng Sariwangi Unpar,"Jalan Rancabentang, Ciumbuleuit",-6.8735893,107.6070459,4.4,91
Warung sate Bu Ngantuk,"Jalan Ranca Bentang III, Ciumbuleuit",-6.8733456,107.607115,4.6,971
